FULL_ADDRESS,Type,Description,Municipality,Community,Days,%,List Price,Sold Price,Expiry Date,Street Name,St#,Bedroom,BedPlus,Wr,Garage Type,Parking Drive Spaces,Pool,Contract Date,Sold Date,Remarks For Clients,Extras,Address,Postal Code,Municipality District
"7 Holroyd St, Ajax, ONTARIO, CANADA, L1Z0R7",Detached,2-Storey,Ajax,Central East,22,103,"$699,999 ","$722,500 ",2018-01-14,Holroyd,7,4,,3,Attached,2,None,2017-11-15,2017-12-07,"Seeing Is Believing !! This Beautiful 2 Year New Bright South Exposre Premium Lot With No Sidewalk 4 Bed 3 Bath Home With Amazing Layout Suronded By Natre And Grenery Locatd In A Terrific New Develpmnt. The Main Flr With An Open Concpt Living Rm & Modrn Kitchen With Lrg Centr Island & W/O To Bkyrd. 2nd Flr Has 4 Lrg Bedrms With Closets, Mastr Bed With 2 Closets & 4Pc Ensuite Featuring Dep Soakr Tub & Sprate Showr. Convnient 2nd Flr Landry. Pride Of Ownershp!","Upgraded Ss Gas Stove, Ranghod, Fridge, Built-In Dishwshr And Wht Washr, Dryr. Upgrd Led Lght Fixtrs , Hot Water Tank Rentatarion Warrnty -2022 .Schol Under Constrtion Comng Fall18. A Master-Planed Neighborhd With Everythng At Your Dorstep.",7 Holroyd St,L1Z0R7,Ajax
"25 Holroyd St, Ajax, ONTARIO, CANADA, L1Z1P6",Detached,2-Storey,Ajax,Central East,26,98,"$799,000 ","$786,000 ",2018-02-15,Holroyd,25,3,1,4,Attached,2,None,2017-11-09,2017-12-05,"Spacious 3 + 1 Bdrm Home In Beautiful Ajax. Premium Corner Lot W. Interlocking Walkway. Newer Hardwood Flooring, Crown Moulding, California Shutters & High Profile Baseboards. Kitchen Features Natural Stone Backsplash, Corian Countertop W. Undermount Sink. Master Bdrm Boasts Large 4 Pc Ensuite W. Large Walk-In Closet. Basement Features Spacious Entertainment Room & Electric Fireplace W. Natural Stone Feature Wall & Newer Laminate Flooring Throughout.","Stainless Fridge, Gas Range, High-Volume Range Hood And Built-In Dishwasher. Gas Burner And Equipment, Air Conditioning Unit, Hot Water Tank (Rental), All Electrical Light Fixtures, All Window Coverings And All Other Permanent Fixtures.",25 Holroyd St,L1Z1P6,Ajax
"19 Loughlin Hill Cres, Ajax, ONTARIO, CANADA, L1Z1P8",Detached,2-Storey,Ajax,Central East,3,97,"$824,800 ","$802,000 ",2018-03-18,Loughlin Hill,19,4,2,4,Built-In,2,None,2017-12-18,2017-12-21,"Spacious Detached 4 +2 Bdrms W/Sep Entrance To Garage & Professionally Finished Bsmt W/10' Ceilings, 4 Pc Bathroom & Above Grade Windows ** Brick/Stone/Vinyl Siding ** Double Door Entry ** Sep Dining Rm, Freshly Painted ** 9' Ceilings & Hardwood Fls On Main Fl & Living *** Oak Staircase ***Cathedral Ceiling & W/O To Balcony From Formal Living Rm *** California Shutters & Fireplace In Family Rm ** Breakfast Area Leads To Two Tier Deck ** Mins To Hwy 401 & 412","Stainless Steel Fridge, Stove, Dishwasher & Microwave *** Washer, Dryer *** Cac (2016), R/I Central Vac, Gb & E, Elf & Window Coverings, Gdo & Remote *** California Shutters *** Close To Shopping, Schools, Parks & Olg Slots At Ajax Downs",19 Loughlin Hill Cres,L1Z1P8,Ajax
"25 Maggs St, Ajax, ONTARIO, CANADA, L1T 4C4",Detached,2-Storey,Ajax,Central East,109,103,"$749,900 ","$775,100 ",2018-02-11,Maggs,25,4,,3,Built-In,2,None,2017-09-11,2017-12-29,"Large, Bright Home In Executive Family Community. Wide Lot, With A Deep Backyard And Large Deck. Main Floor Laundry With Additional Access To Outside. Intercome Throughout The Home. Large Finished Basement. Sold In As Is/Where Is Condition As Per Seller.",As Is Where Is Condition.,25 Maggs St,L1T 4C4,Ajax
"9 Mchugh Rd, Ajax, ONTARIO, CANADA, L12 0M8",Detached,2-Storey,Ajax,Central East,8,96,"$770,000 ","$738,000 ",2018-03-16,Mchugh,9,4,,3,Attached,2,None,2018-01-08,2018-01-16,"No Financing Problem! A Stunning 3 Years New (4 Brs) Brick Det. Home, Located On A Quiet Street In Prestigious North Ajax. Pride Of Ownership: Sellers Spent $50K Plus In Upgrades In The Last Month: Front+Side+Pt. Of Rear Yard: New Stones; California Shutters; Hardwood On Main Flr; New Flrs On 2nd Flr; Marble /Stone On Island+Kit Counter Top+Back Splash. 1 Year New: Cac+Large Deck With El Lights On The Steps +Pot Lights In Roof Box.",Gbe; Cac; Copy Survey; Panasonic Microw. G.E: Gas Range; Kenmore Fridge; Bosh D.W; Sakvra Exh Fan; Englis Dryer +Sink; Whirlpool Washer; Jacuzzi+Shower In Mbr. W. Covers; Elf; Fr Dr Sec Camera (Excluded: 5 Speakers In Family Rm),9 Mchugh Rd,L12 0M8,Ajax
"91 Silverwood Circ, Ajax, ONTARIO, CANADA, L1Z0A4",Att/Row/Twn...,2-Storey,Ajax,Central East,9,100,"$527,000 ","$525,000 ",2018-05-17,Silverwood,91,3,,3,Built-In,1,None,2017-12-02,2017-12-11,"Client Remks:* Monarch-Built Beauty! *Eat-In Kitchen With Ceramic Floors Pass-Thru To Lr/Dr & Walk-Out To Deck *Lr/Dr Combination Features Coffered Ceiling, Hardwood Floors & Cozy Gas Fireplace *Mbr Retreat Features Sitting Area, Large Walk-In Closet & 4-Pc Ensuite With Sep. Shower *Gleaming Hardwood Floors *California Shutters *Shows Well! *A Must See!","Extras:Inc: Fridge, Stove, B/I Dishwasher, Washer, Dryer",91 Silverwood Circ,L1Z0A4,Ajax
"31 Westgate Ave, Ajax, ONTARIO, CANADA, L1Z1R8",Detached,3-Storey,Ajax,Central East,3,103,"$900,000 ","$925,000 ",2018-02-28,Westgate,31,5,,4,Attached,4,None,2017-12-28,2017-12-31,"This Beautiful Executive Home Is Complete With Upgrades Including Crown Moulding, Pot Lights And Hardwood Flooring. Eat-In Kitchen With Stainless Steel Appliances And W/O To Deck Overlooking Private Ravine Yard. Unique Multi-Level Layout With Gorgeous Master Retreat With Two-Sided Fireplace, Jacuzzi Soaker Tub And Double Vanity. Third Level Suite With Own 4Pc Bath. Minutes To 401, Schools & Parks.","S/S Fridge, S/S Stove, S/S B/I Microwave, B/I Dishwasher, Washer, Dryer. Cac & Equip, Elfs. Exclude Rods & Drapes, Basement Fridge/Freezer, Shelving Unit.",31 Westgate Ave,L1Z1R8,Ajax
"75 Westgate Ave, Ajax, ONTARIO, CANADA, L1Z0S4",Detached,2-Storey,Ajax,Central East,13,93,"$1,050,000 ","$980,000 ",2018-03-31,Westgate,75,5,1,5,Attached,2,None,2018-01-10,2018-01-23,"A Rare Opportunity To Own This Immaculate 2 Years New 5 Bedrooms Home In Demand Central East Ajax.Over3000Sqf+Very Bright Professionally Finished Walk Out Basement. Premium Big Lot W/Ravine, Master Bdrm 5Pc Ensuite. $$$spent On Upgrades,9' Ceiling On M/Flr, Wainscoting, Quartz Counter W/Backsplash In Kitchen, Upgraded Tall Cabinets, Hardwood Flr On M/&2nd Flr, Crown Moulding, Ceiling Medallions, Pot Lights, Interlock Driveway.","S/S Fridge, S/S Stove, B/I Dishwasher, Washer, Dryer. Rough In Cavc, All Electric Fixtures And All Existing Curtains, Electrical Fire Place, Garage Opener With 2 Remotes, Minutes To 401, 407, Go Train, Schools And All Amenities.",75 Westgate Ave,L1Z0S4,Ajax
"18 Bowles Dr, Ajax, ONTARIO, CANADA, L1T3Y8",Semi-Detach...,Backsplit 4,Ajax,Central West,12,98,"$679,000 ","$668,000 ",2018-01-10,Bowles,18,4,1,3,Built-In,3,None,2017-11-10,2017-11-22,Incredibly Spacious 4+1 Bedroom Semi-Detached Home (2500Sqft) In Highly Desirable Pickering Village**Uniquely Designed 4 Level Backsplit**No Side Walk W Parking For 4 Cars**Two Tier Cedar Deck W/Storage Underneath**Octagonal Skylight**Master W/Sitting Area**Largest Semi On Street*Covered Front Porch**Freshly Painted Throughout**Great Alternative To A Detached Home**Affordable Option For Large Families**Seeing Is Believing!**See Video Tour Today**,"New Skylight (17)**New Roof (17)**B/I Microwave**Fridge**Stove**D/W**W/D**Gb&E,Cac,Cvac W/Attachments**Gdo + Remotes**Storage Shed In Backyard**Freshly Painted**All Elfs**All Window Coverings**Exclude: All Drapery (Belongs To Stager).",18 Bowles Dr,L1T3Y8,Ajax
"132 Bowles Dr, Ajax, ONTARIO, CANADA, L1T4C3",Detached,2-Storey,Ajax,Central West,7,99,"$789,700 ","$785,000 ",2018-03-20,Bowles,132,4,,3,Attached,2,None,2017-11-20,2017-11-27,"Open House Sunday 26th 2-4 Sought After Community!! John Boddy Devonshire Model Sunfilled,Open, Inviting & Cozy. Premium Lot,4 Beds,3 Baths, Detached Home. Hardwood,Ceramic,Crown Moulding,Pot Ligths, Updates In Kitchen- Bcksplsh,Quartz Counters, Formal Living & Dining, Family Rm Combo W/Kitchen, Garage Access, Spacious Master Bdrm His & Hers Closets & Lge Ensuite. Walk To Elementary & High Schools,Transit.401/407/Go Train. Hiking Trails.","Gas Stove, Fridge, B./I Micro,B/I Dishwasher, Washer/Dryer, Basemt Freezr Wdw Covers, Ceiling Fans/Elfs, 2 Gdo& Remote, Inground Sprinkler, Gas Bbq Hookup, Shed. Excl: Hot Tub See Features And Inclusions List",132 Bowles Dr,L1T4C3,Ajax
"15 Brennan Rd, Ajax, ONTARIO, CANADA, L1T2G1",Detached,2-Storey,Ajax,Central West,98,93,"$699,900 ","$650,000 ",2017-12-07,Brennan,15,3,1,4,Attached,2,None,2017-09-07,2017-12-14,"Wow! This Home Is Stunning!! Tons Of Renovations And Updates (Approx 150K Spent). Fabulous Curb Appeal. Location - Just Minutes Walk To School/Daycare/Shopping...Quick Drive To 401/Go Train And 407. Gleaming Hardwood On Main Level; Fully Renovated Kitchen; 3 Bathrooms Renovated With Granite Counters; Master Ensuite With Jacuzzi Tub And S/U Shower; Thousands Spent On Custom Built In's And Hardwood Staircase, Finished Basement With 4th Bathroom And Bedroom Plus",Rec Room. Tons Of Storage. Fabulous Trex Deck With Covered Hot Tub. Includes: Fridge; Stove; B/I Dishwasher And Microwave; Front Loading Washer And Dryer; Cvac; Egdo; All Window Treatments And Elfs; All Closet Organizer; Hot Tub And Shed.,15 Brennan Rd,L1T2G1,Ajax
"29 Brockman Cres, Ajax, ONTARIO, CANADA, L1T4B3",Detached,2-Storey,Ajax,Central West,69,99,"$608,000 ","$603,000 ",2017-12-11,Brockman,29,3,,3,Attached,2,None,2017-10-10,2017-12-18,"Beautiful Detached All Brick Home In A Great Family Neighbourhood! Large Front Porch! Excellent Layout W/ Hardwood Oak Staircase, Spacious Bedrooms, Master W/ Ensuite & Jacuzzi Tub. Family Room With Gas Fireplace, Large Eat-In Kitchen W/O To Private Backyard! Main Floor Laundry W/ Garage Access & 2nd Access To Basement Offers Income Potential W/ Rough-In Plumbing! Steps To Parks, Schools, Community Centre And Public Transit! Minutes To Go, Hwys 401 & 407!","Fridge, Stove, B/I Dishwasher, Washer, Dryer, All Elfs, All Window Coverings, Cac, Cvac, Wired For Surround Sound On Ground Flr, Wired For Alarm, Gdo &2 Remotes, Garden Sheds, Hwt(R), Shelving In Garage And Cold Room, Roof Re-Shingled 2015.",29 Brockman Cres,L1T4B3,Ajax
"113 Chatfield Dr, Ajax, ONTARIO, CANADA, L1T2J2",Detached,2-Storey,Ajax,Central West,2,99,"$528,800 ","$525,000 ",2018-02-28,Chatfield,113,3,,2,Attached,5,None,2017-12-18,2017-12-20,"Gorgeous 3 Bedrooms/2 Bath Detached Home Located In A Desirable Family Neighborhood, Finished Basement, New Laminate Floors In All 3 Beds/Upper Hall & Lower Living/Dining, Freshly Painted, Newly Updated Gourmet Kitchen & Backsplash, New Tiles In Foyer And Kitchen, 2nd Flr Washroom Updated, Close To Schools, Parks, Shopping, 407, 401, Transit. Don't Miss Out.","S/S Stove, S/S B/I Dishwasher, Fridge, Washer/Dryer, All Elf's,Fireplace(As Is), Hwt Rental",113 Chatfield Dr,L1T2J2,Ajax
"12 Chesham Crt, Ajax, ONTARIO, CANADA, L1T4N9",Att/Row/Twn...,2-Storey,Ajax,Central West,10,99,"$619,900 ","$611,500 ",2018-01-31,Chesham,12,3,,3,Detached,2,None,2017-11-23,2017-12-03,"John Boddy Built 3 Bedroom End Unit Townhome ""1752 Sqft"". ""The Courtyard"" Model. Fully Renovated From Top To Bottom In 2014**New Roof, Windows, All Doors, Hardwood Floors, Kitchen, Bathrooms, Pot Lights Through Out Main Floor, Wall To Wall Cabinets In Laundry Area, Oversized Deck. Premium Lot 145Ft Deep, Detached Garage W/Parking For 3 Cars. Private Court Great For Children At Play, Close To Schools, Parks, Shopping, Highway Access, Public Transit.","All Samsung Stainless Steel Appliances. Fridge, Stove, Built-In Microwave, Dishwasher, Front Loading Washer And Dryer(14), All Elfs, Cac And Furnace Also Replaced In 2014. Additional Feature List Attached. Make An Offer And Start Packing!",12 Chesham Crt,L1T4N9,Ajax
"440 Delaney Dr, Ajax, ONTARIO, CANADA, L1T3Y6",Detached,2-Storey,Ajax,Central West,92,89,"$839,900 ","$745,000 ",2018-01-17,Delaney,440,3,1,4,Attached,2,None,2017-10-17,2018-01-17,"Beautiful John Boddy Home Located On A Premium Corner Lot With Fully Finished Basement,This Home Features Hardwood Floors On Main Floor, Laminate On The 2nd Floor, Spotlights On Main Floor And In The Basement, Skylight On 2nd Floor, Updated Kitchen Cabinets With Granite Counter, S/S Appliances, Oak Staircase With Iron Picket, Finished Bsmt With Full Bedroom And Bathroom & So Much More..You Have To Come See For Yourself!","S/S Fridge,S/S Stove, B/I Dishwasher, Washer, Dryer, All Elf's, Excludes: 2 Security Cameras.",440 Delaney Dr,L1T3Y6,Ajax
"16 Gregson St, Ajax, ONTARIO, CANADA, L1T3Z8",Detached,2-Storey,Ajax,Central West,60,98,"$899,900 ","$877,500 ",2018-01-26,Gregson,16,4,1,4,Attached,4,None,2017-10-25,2017-12-24,Grand Centre Hall Plan*Shows Very Well*Granite Floors In Huge Foyer/Kitchen*Approx 3300 Sq Ft*Mostly Hardwood Floors*California Shutters*Enclosed Porch*Curved Staircase*Professionally Finished Basement*Mn Floor Laundry*S/S Appliances*Good Size Deck*Mbr Is Very Spacious With Huge W/I Closet*All Bed Rooms Are Good Size* 2 Bed Rooms With High Ceilings*Decorative Pillars*Bsmt With Bed Rm And Washroom*Numerous Upgrades*Can Easily Make A Side Entrance To The Bsmt,"Existing Stainless Steel Fridge,Stove,B/I Dishwasher,Washer,Dryer,California Shutters,Elf's,Central Air, *****3290 Sq Ft As Per Mpac** Garage Door Opener**Hwt (R)**Chandeliers**Exclude Drapes***",16 Gregson St,L1T3Z8,Ajax
"21 Griffiths Dr, Ajax, ONTARIO, CANADA, L1T 3J4",Detached,2-Storey,Ajax,Central West,37,101,"$799,000 ","$805,000 ",2018-06-06,Griffiths,21,4,2,4,Attached,2,None,2017-12-06,2018-01-12,"Hermitage Park Renovated Home! Almost 2400Sf ~4+ 2 Beds 3+1 New Baths, Stunning Custom Kitchen W Quartz Counters & Glass Backsplash, Ss Appliances, Main Fl Family Rm,. Painted (2017) Wainscoting & Crown Molding W/O To Deck. Generous 50 Ft Lot. Orig Owners Meticulously Maintained. Great Location. Close To 401 & 407 Go Train & Several Amenities It's Perfect & Ready For A New Family To Enjoy!","All Existing Appl Ss Gas Stove W Bi-Mw(17), Fridge(17) Dw. W/D(Asis) California Shutters, Blinds & Rods (Excl Drapes).14 New Light Fixtures. Roof (8Yrs) Hwt Rental, Furnace/Ac (89) , Carpet(17). Elec Fp In Fam Rm Windows Replac Except Bsmt",21 Griffiths Dr,L1T 3J4,Ajax
"11 Hemans Crt, Ajax, ONTARIO, CANADA, L1T4B9",Semi-Detach...,2-Storey,Ajax,Central West,10,98,"$599,000 ","$590,000 ",2018-03-21,Hemans,11,3,1,3,Built-In,1,None,2017-11-21,2017-12-01,"Great Location,Pickering Village.Lovely Family Home With Family Room Access To Balcony.Master Ensuite With Soaker Tub & Separate Shower.Finished Basement; New Roof. Main Floor Hardwood Throughout; Kitchen S/S Kitchenaide Appliances; Laminate Flooring On The Stairs & 2nd Floor, Ceramics, New Vanities & Quartz Counters In Upstairs Bathrooms . New Furnace & A/C.","S/S Fridge,Stove,Over The Range Microwave,D/Washer. White Washer &Dryer (Front Loading).All Elfs,Cvac.,Garage Door Opener.It Is Wired For An Alarm,Not Currently W/A Monitoring Agency.Rental Items: Hwt,Furnace.Excl: Items: Deep Freezer Bsmt.",11 Hemans Crt,L1T4B9,Ajax
"38 Hester Ave, Ajax, ONTARIO, CANADA, L1T3Y6",Detached,2-Storey,Ajax,Central West,30,99,"$750,000 ","$745,000 ",2018-02-26,Hester,38,3,,3,Attached,2,None,2017-12-06,2018-01-05,"Gorgeous John Boddy Home ""The King's Gate"" Model. Large Corner Lot In Sought-After Pickering Village! Brand New Roof (2017) & Exterior Painted (2017). Large Living Room W/ 2 Bay Windows O/L Front & Backyard. Unique Floor Plan W/ Large Family Room Above Garage W/ Cathedral Ceiling & Gas Fireplace. Professionally Finished Bsmt W/ Lots Of Above-Grade Windows. Main Floor Laundry. Walk To Eagle Ridge P.S, Pickering H.S, Parks & Amenities, Mins To 401","S/S Fridge (2016), S/S Stove (2016) Washer & Dryer (2015), Elfs, Cac & Equip (2014), R/I Cvac, Furnace (Owned), Hwt (Rental) *Exclude: Drapes & Rods",38 Hester Ave,L1T3Y6,Ajax
"50 Hettersley Dr, Ajax, ONTARIO, CANADA, L1T1V4",Detached,2-Storey,Ajax,Central West,19,97,"$749,000 ","$728,000 ",2018-02-28,Hettersley,50,3,2,4,Attached,4,None,2017-11-29,2017-12-18,"Search Is Over!!! Fully Brick 2 Storey Offering 3 Bedrooms ,Fully Hardwood ,Newly Painted, Kitchen With Granite Counters,Back Splash And Tiles Floor,New Windows,Double Door Entrance,Upgraded Washrooms,Beautiful Layout Having Light All The Time And Having Legal Basement With 2 Bedrooms With Separate Entrance With Separate Laundry Adding $1000 Rent .","New Fridge, Dishwasher, Gas Stove And Hood Range,Washer And Dryer,Window Coverings Upgraded Light And Fixtures, Centarl Air ,Double Car Garage, 4 Parking Space With Eco Paving, Roof Changed In 2015 Near Hwy 401 Schools,Go,Banks And Malls",50 Hettersley Dr,L1T1V4,Ajax
"15 Hunter Dr, Ajax, ONTARIO, CANADA, L1T3M9",Detached,2-Storey,Ajax,Central West,32,98,"$699,000 ","$688,000 ",2018-03-22,Hunter,15,4,,3,Attached,4,None,2017-10-30,2017-12-01,"Welcome Home!!! Detached Family Home In The Heart Of Ajax! Separate Living And Family Rms For Entertaining, Large Dining Rm. Family Sized Bright Kitchen And Breakfast Area Direct Access To Raised Patio Deck In The Lush Green Backyard. Gorgeous Brick Fireplace In Family Rm. Laundry/Mud Room With Side Entrance On Main Flr. Master Boasts Walk-In Closet W/Large 4Pc Ensuite. Steps To Schools, Parks, 401, 407, Go Stn, & More!!!","All Elfs, Window Coverings, Light Fixtures, Appliances. Gas Stove S/S Appliance. Hot Water Rental Is $18.57/Mth",15 Hunter Dr,L1T3M9,Ajax
"40 Jacwin Dr, Ajax, ONTARIO, CANADA, L1S 6H9",Detached,Bungalow,Ajax,Central West,47,97,"$658,888 ","$640,000 ",2018-04-16,Jacwin,40,3,2,2,Attached,6,None,2017-11-24,2018-01-10,"Pickering Village Beautiful 3+2 Bdrm Bungalow Recently Renovated Top To Bottom Including A Private & Legal 2 Bdrm Apartment.Shows 10+ W/Gleaming Hardwood Floors & Sparkling Granite Counters.Huge Bonus Is The Drive Thru Attached Garage Leading To An Awesome Detached All Steel Heated Workshop-Man Cave, Insulated, 100 Amp Hydro Service W/Gas Heat!!.. Huge Lot. This Property Has A Fantastic Combo Of Features Meeting Many Needs In Great Location Westney/401.","Close To Go Transit,Parks,Schools & Shopping. Lots Of Parking. T.O In Less Than 35 Minutes. Live & Enjoy All The Living Space W/Bonus Of Your Own Workshop Or Rent Out Space You Dont Use. A Great Investment Property With 3 Income Streams",40 Jacwin Dr,L1S 6H9,Ajax
"76 Kearney Dr, Ajax, ONTARIO, CANADA, L1T2T7",Detached,2-Storey,Ajax,Central West,12,105,"$700,000 ","$732,500 ",2018-02-28,Kearney,76,4,1,4,Built-In,6,None,2017-11-30,2017-12-12,"Gorgeous Detached Home In Sought-After Pickering Village. Open Concept Living/Dining Room W/ Separate Family Room W/ Cozy Wood-Burning Fireplace. Renovated Kitchen W/ Wall Removed For Space & Better Layout, Granite Counters & Centre Island. Large Master Suite W/ Sitting Area & 4Pc Ensuite W/ Soaker Tub. Finished Bsmt W/ Built-In Bar, Separate Bdrm & Powder Rm. W/O To Fenced Yard W/ Newly Refinished Large Deck (2017). Walk To Pickering H.S., Parks & Amenities.","S/S Fridge, S/S Stove, S/S B/I Microwave, S/S B/I Dishwasher, Washer, Dryer, Elfs, Pot Lights, Cac & Equip, Gdo & 1 Remote (2012), Roof (2005), Furnace (2005), Hwt (Rental, New 2017) *Exclude: Drapes & Rods",76 Kearney Dr,L1T2T7,Ajax
"28 Kemp Dr, Ajax, ONTARIO, CANADA, L1T 4B1",Detached,2-Storey,Ajax,Central West,5,97,"$925,000 ","$900,000 ",2018-04-30,Kemp,28,4,,4,Attached,2,None,2018-01-17,2018-01-22,"Excellent John Boddy 4 Bedroom, 4 Bathroom Detached Family Home In Ajax. 9Ft Ceilings On Main. California Shutters. New Quartz Counters In Large Eat-In Kitchen And All Bathrooms. 2-St Family Rm W/Stone Gas Fireplace And Large Picture Window. Master Bdrm W/His & Hers Closets And 6 Pc. Ensuite. Roof (2Yrs). Walking Distance To Eagle Ridge Public & Pickering Hs.","Ss (Fridge, Gas Stove, D/W), Washer, Dryer, All Elf's, Window Coverings. Central Air, Cvac, Hwt (R), Grg Dr Opener & Remotes, Alarm System. Exclude: (Bsmt Freezer)",28 Kemp Dr,L1T 4B1,Ajax
"178 Large Cres, Ajax, ONTARIO, CANADA, L1T2S4",Detached,2-Storey,Ajax,Central West,30,96,"$640,000 ","$613,000 ",2018-02-15,Large,178,3,1,4,Attached,4,None,2017-11-15,2017-12-15,"This Home Has Recently Undergone A Significant Renovation And Is Perfect For Your Family! It Features 3 Spacious Bedrooms, Including A Master With A Beautiful Ensuite . In Addition, The Home Has New Flooring Throughout, Stainless Steel Appliances In The Kitchen. On Top Of All These, A Double Car Garage. Close To The Go, 401, Shopping, And Schools. New Roof '16, New Water Heater '17, New Furnace 2014, New Windows 2017 Hardwood On Upper Fl. Laminate On 1st Bsmt","Stainless Steel Appliances - New Fridge, Stove, S/S Dishwasher. Washer And Dryer. New Flooring Throughout. All Window Coverings, All Light Fixtures.",178 Large Cres,L1T2S4,Ajax
"86 Linton Ave, Ajax, ONTARIO, CANADA, L1T2V2",Detached,2-Storey,Ajax,Central West,3,100,"$750,000 ","$750,000 ",2018-01-31,Linton,86,4,1,4,Attached,6,None,2017-12-01,2017-12-04,"Upgraded Detached Home In Prestigious Pickering Village! Bright & Spacious Modern Kitchen W/ Custom Marble Backsplash (2017), Pot Lights & B/I Wine Rack (2016). Spacious Master Suite (Reno'd 2013) W/ W/I Closet & Reno'd Ensuite (2017). Professionally Finished In-Law Suite In Bsmt W/ Large Bdrm W/ W/I Closet & 4Pc Bath. Main Level Laundry (2013), Bbq Gas Hookup (2013), New Interior Doors (2014) & Reno'd Powder Rm (2017). Walk To Pickering Hs, Parks & Amenities","S/S Fridge (2015), S/S Stove (2017), S/S B/I Dishwasher (2015), Washer/Dryer (2014) California Shutters, Pot Lights, Elfs, Cvac & Equip (2013), Cac & Equip, Gdo, Hwt (Rental) *Exclude: Drapes & Rods, Bbq",86 Linton Ave,L1T2V2,Ajax
"67 Macdermott Dr, Ajax, ONTARIO, CANADA, L1T3T9",Detached,2-Storey,Ajax,Central West,43,98,"$679,990 ","$665,500 ",2018-02-28,Macdermott,67,4,,3,Attached,4,None,2017-11-14,2017-12-27,"Sought After Family Neighborhood In The Heart Of Ajax, Spacious Home On A Deep 150' Lot. Separate Dining, Living & Family Room W/ Fireplace, Walk-Out To Yard, Large Driveway With No Sidewalk. Finished Basement W/ Open Concept Layout. Main Floor Laundry/Mud Room Is A Delight! Walk To Excellent Schools, Mins To 401/407.","Fridge, Stove, B/I Dishwasher, Front Load Washer & Dryer, Water Softener, Gb&E, Central Air Conditioner. Hi-Eff Furnace Only 1 Year Old, Windows 2012, Roof 2010, New Garage Door. 4Pc Basement Bath Roughed In. Bsmt Kitchen Rough In.",67 Macdermott Dr,L1T3T9,Ajax
"64 Macdermott Dr, Ajax, ONTARIO, CANADA, L1T3T9",Detached,2-Storey,Ajax,Central West,28,95,"$655,000 ","$620,000 ",2018-02-07,Macdermott,64,3,,4,Attached,2,None,2017-11-07,2017-12-05,"Immaculate House In A Highly Desirable Location In Ajax. Spacious Open Concept Design Home, Newly Upgraded- B/I Hardwood Flr, Modern Kitchen W/ Quartz Counter Top, B/N Washrooms, Roof (Apprx 4 Yr), Bsmt Has Open Concept Family Room, A/C & Furnace (Approx 4 Yr), Double Car Garage, Breakfast Area W/O To A Nice Deck & M/More. **Property Well Kept And Move In Condition**","S/S Fridge,Stove, Dishwasher,All Electric Fixtures, Hwt (Rental), Dryer,Washer,Pot Lights, Close To Schools, Park, Transit Minutes To Hwy 401 / 407& More.La/Agent Or Seller Do Not Warrant Retrofit Status Of Basement.",64 Macdermott Dr,L1T3T9,Ajax
"58 Mill St, Ajax, ONTARIO, CANADA, L1S6K6",Detached,Bungalow,Ajax,Central West,29,93,"$599,000 ","$560,000 ",2018-01-15,Mill,58,3,,2,None,2,None,2017-10-31,2017-11-29,"Updated Bungalow Located In Sought-After Pickering Village. Absolutely Turn-Key Home That Has Been Meticulously Maintained And Loved By The Original Owners, Features Hardwood Flooring, An Updated Kitchen With Granite Counters, Two Updated Bathrooms, All New Interior Doors, Light Fixtures, Fully Finished Basement With Separate Entrance (Space To Add 2nd Kitchen) Newer Roof, Furnace And Ac. Close To Go Station, 401, Schools And Shopping. Don't Miss This Home!","All Window Coverings, All Light Fixtures, Washer And Dryer.",58 Mill St,L1S6K6,Ajax
"13 Mortimer Cres, Ajax, ONTARIO, CANADA, L1T 3Y3",Detached,2-Storey,Ajax,Central West,11,98,"$887,800 ","$870,000 ",2018-01-31,Mortimer,13,4,,4,Attached,4,None,2017-11-28,2017-12-09,"Pickering Village Luxury - "" John Boddy"" Magnificent Home In One Of Ajax Most Sought After Neighborhoods .Centre Hall Plan .. Curved Staircase. Formal Din Rm ,Sunken Liv Room , Lrg Modern Fam Kit W/Centre Island/Brkfst Bar, Main Flr Fam Rm W/ F.P, Grand Master Suite W/5Pc Ensuite & F.P- Prof Fin Bsmt With Theatre Room, Games Rms, Exercise Room + 3 Pce Bath .. Hardwood & Ceramics Thru-O - Minutes To Duffins Creek, Golf Course, Schools , Shopping And Ameneties","Gb & E , Cac , & Equipment, Cent Vac And Equip , S/S Stove , Fridge, B/I Dishwasher, Washer, Dryer, Window Coverings & Blinds And Rods , All Elf's, Gdo And Remotes",13 Mortimer Cres,L1T 3Y3,Ajax
